nama,reviews,rating
muhammad tahur,"Makanan, minuman pelayanan suasana mantap
Bisa buat meeting atau ngantor sambil hang out",5 bintang
Izhar wahyu Zafitra,"Tempat yang cocok buat hang out dan meeting,ada live music di hari jumat,sabtu dan minggu.",5 bintang
zul arfandy,"Tempatnya yang nyaman buat ngobrol santai... sya suka pelayanannya... apa lgi server""nya baik sopan ramah",5 bintang
Septian Prima Razak,"Bagus cafenya, makanan dan minuman enak 👌 …",5 bintang
Ms. Nevada Noct,"Tempat nongkrong yang nyaman nya serasa rumah.

Makanan dan minuman nya juara …",5 bintang
Rio Raseda,"Malem minggu rame euy.. Ada live musik, enak enak makanan dan minumnya..",5 bintang
rezky putrawan,Tempat yang paling pas buat nongkrong sama teman atau keluarga. The best pokoknya👍👍👍 …,5 bintang
Irham Tafrani,Nyaman untuk nongkrong,5 bintang
Ketty Puturuhu,"Asik buat santai santai bersama teman , pas buat acara reuni atau arisan,ulang tahun",5 bintang
Deddy Sudoyo,"Suasana “Old Fashion” nya terasa, termasuk lagu-lagu thn 90an",5 bintang
Ukka 46,Tidal usah ada tukang parkir. Pemgeluaran tambahan lg,1 bintang
Suardi Ardi,Kopi nya enak2 semua pas dengan selera muda dan tua,5 bintang
Dhian M,Dari segi suasana makanan dan pelayanannya top banget..👍👍 …,5 bintang
Ms. Nevada Noct,"Tempat nongkrong yang nyaman nya serasa rumah.

Makanan dan minuman nya juara

👌👌👌👌👌",5 bintang
rezky putrawan,Tempat yang paling pas buat nongkrong sama teman atau keluarga. The best pokoknya👍👍👍,5 bintang
Dhian M,Dari segi suasana makanan dan pelayanannya top banget..👍👍,5 bintang
Anisauji Fauziah,👍👍👍 …,5 bintang
James Wijaya,Tempat nongki yang asik aman nyaman pelayanan juga mantap,5 bintang
Herman Daeng Sijaya,Sangat tdk menyenangkan perilaku anggota managementnya,1 bintang
Difoto Wedding,Keren dan kekinian tempatnya,5 bintang
Asuban Prasad,Life music nya mantap.,5 bintang
Yudi Hendra,Mantap tmp nya,5 bintang
Kopral Jono,Cafe t4 ngopi yg menarik dan otentik..,5 bintang
Rita Maulita,pelayanan baik dan ganteng2,5 bintang
Properti Chanel [Daeng Sibali],Keren,5 bintang
Akbar Husain,Mantap,5 bintang
Anisauji Fauziah,👍👍👍,5 bintang
ShiviaCraft,Tempatnya nyaman menux enak2,5 bintang
Ary Ekayani,"suasanax adem nyaman , pelayanx ramah  👌😍 …",5 bintang
Charles Sahetapy,Mantapppp...bandnya kerennn.,5 bintang
Feby Thung,mantap gaming,5 bintang
Jein Indrianti,cafe nya indah,5 bintang
fandy 888mr,"Semuax enak, dan pelayanan ramah",5 bintang
Yusran Bansen,Mantap,5 bintang
Ardis Sua,Kopi mantaf rekomendek,5 bintang
harly katili,Semuanya Mantabsss...,5 bintang
Sudirman Hamid,Cafe yang nyaman,5 bintang
A M F G M,,4 bintang
wiwik jie,"Makanan ok , suasana ok , live musik weekendnoke banget, harga sesuai, cuma yg ngerokok nongkinya di rg khusus aja dech.... Jgn bago2 asap rokok",5 bintang
Ekho Gs,"Salah satu kopi gula aren yang terbaik yg pernah saya coba✨
Di dukung suasana yang nyaman dan layanan yang baik, nice⭐",5 bintang
Matthew Pangaribuan,"Tempatnya Cozy, Makanan nya enak², pelayanan sangat memuaskan, staff nya ramah²",5 bintang
Piter Halim,"Kita bahkan belum menjelajahi seluruh tempat ini, mereka punya banyak pilihan.

Kami hanya memesan Pizza Pepperoni dan minuman: OJ O Cinna, yaitu moktail segar …",5 bintang
Dewi Subagyo,Kedai kopi ini terletak di depan Hotel Santika. Suasananya nyaman dan tempatnya nyaman untuk mengobrol dengan orang lain atau bekerja/belajar. Minumannya enak. Pelayanannya baik dan memuaskan 👍. Kami mencoba virgin mojito dan madame oyaki …,4 bintang
Jilian Savary,Kafe yang luar biasa di pusat kota. Suasana yang hebat dan makanan yang lezat serta disajikan dengan indah. Staf yang sangat ramah.,5 bintang
Adinda Tenriangke Muchtar,"Kopinya enak
Lokasi strategis
Pelayanannya baik
Suasananya unik",4 bintang
Tiar Rachmadhan,"Salah satu tempat nongkrong asyik bersama teman dan keluarga di tengah kota Makassar, dengan live music di malam hari 😊 …",5 bintang
Pierre Martin,"Tempatnya bagus, makanan dan kopinya enak, tapi kalau kamu nggak suka asap rokok dan/atau bau rokok saat makan atau minum, jangan ke sana.
Katanya sih mereka akan mempertimbangkan untuk membuat area bebas rokok.",3 bintang
Piter Halim,"Kita bahkan belum menjelajahi seluruh tempat ini, mereka punya banyak pilihan.

Kami hanya memesan Pizza Pepperoni dan minuman: OJ O Cinna, yaitu moktail segar yang dicampur dengan jambu biji, sirup Sunquick, dan leci sebagai topping, serta susu segar dingin.

Pizzanya lumayan, tipis, yang lebih saya sukai daripada yang biasa.

Toppingnya agak sedikit menurut saya.

Minumannya biasa saja, tidak terlalu istimewa.
Bukan salah mereka karena kami tidak memesan menu andalan mereka, yaitu Kopi 😁

Saya cukup menyukai desain tempat ini, bergaya industrial dengan banyak properti dan barang-barang vintage. Pasti akan banyak foto bagus yang bisa diambil di sini.",5 bintang
