nama,reviews,rating
Marchel TM,"tempatnya okay, makanan juga okay, pelayananya okay. jadi ovel all okay buat kesini. Jarang ada cafe cantik makannya enak, tapi disini makanannya enak2 🫶🏻",4 bintang
Herdianto Ciuandi,"Makanannya enak"" semua dan terjangkau, aplg vip no min order 🙌",5 bintang
raudha jaya,Pelayanan bagus.. Karyawan Ramah.. Makanan dan Minum Bintang,5 bintang
Tutee Wulandari,"Tempat cozy, pelayanan ramah, makanan enak smoga bisa di pertahankan",5 bintang
little crazy studio,"Makanannya lama sekali keluar saat ramai , 1 jam lebih bru keluar",3 bintang
imma risma,"Makanannya enak-enak, pelayanannya memuaskan dan sangat ramah. Suasananya bikin saya betah dan nyaman",5 bintang
Evita Chadija,Semua makanannya enak dan harga pas Untuk cafe sekelas mewahan,5 bintang
Diana Vonie,"Setiap kesini ga pernah kecewa sama makanannya. Apalagi kalau pesan salad, sayurnya selalu fresh. Stafnya gercep. Selalu catat request kita dgn baik dan cekatan",5 bintang
Evie Purnama Sari,"Tempatnya nyaman banyak spot foto nya juga , lantai dua masih tahap pembangunan , pilihan menu nya banyak dan enak , pegawai nya juga sangat ramah",5 bintang
Andi Astika Rianisari Mochtar,Makanannya enak2,5 bintang
himmatus syarifah,"Tempat yang nyaman dan ada live music, makanan dan minuman enak",5 bintang
Nadh Games,"Karyawan Ramah, pelayanan bagus, Karyawan  jujur dan Amanah, teliti sebab uang 400ribu saya tidak sengaja jatuh di sofa dan dikembalikan",5 bintang
asniar imran,Klo mau malam mingguan bersama orang tersayang jgn jauh² ke googfields sj..,5 bintang
Sitta Desy Ratnasari,"Makanannya enak, approve semua, interiornya juga cakepp, harga reasonable.",5 bintang
Fardhilah Kasim,"Datang pas malam minggu, ada live music. Tempatnya nyaman. Makanan enak2. Pelayanan baik 👍👍 …",5 bintang
Indira Pratiwi,"Makanannya enak, suasanyanya nyaman dan tidak terlalu berisik. Parkiran luas.",5 bintang
Aurelia Ramadhia Lumentut,"Makananya pricy tp sesuai dgn rasanya. Tempatnya nyaman, instagramable bgt.",5 bintang
Deny Wanada,"Rasa paling pas dan sangat enak
Tempat nyaman sekali
Pelayanan ramah banget",5 bintang
rindu afifa,Dari makanan semunya enak cafe fav keluarga akuiu,5 bintang
Fairuz FR,Tempatnya cozy dan makanannya enak,5 bintang
Listiyaningsih Melinda,Pelayanannya sangat baik dan ramah. Makanannya enak-enak,5 bintang
Reskiamelia reski,"Tempat Beli gorden kantor dari 2017 sampai sekarang, Kualitas memang bagus, Pengerjaanha cepat 🙏 Terimakasih …",5 bintang
Fardhilah Kasim,"Datang pas malam minggu, ada live music. Tempatnya nyaman. Makanan enak2. Pelayanan baik 👍👍",5 bintang
Andi Sri Ifa Nuraeni,"Tempatnya nyaman , makanannya enak, harganya oke, pokoknya rekomended nah",5 bintang
Farhanah Ramdhani Sumardi,"Love the vibes, service and foods.
Paling suka Chicke Caser Salad dan nasi goreng roanya juga enak🫶 …",5 bintang
Yeni Rahmawati,"Ini tempatnya cozy banget.. bisa banget dipake untum private party. waktu datang pas lagi ada birthday party, tapi kebutuhan tamu lain tidak terganggu sama sekali. waiternya gercep, toughtfull, dan tetep ramah.. makanannya enak2.. mau poto2 juga semua sudutnya instagramable.. 🤩 …",5 bintang
aldira azizah,"aku suka banget makan disini makanannya enak, bagus buat foto dan rayain ultah pacarkuu, pelayanan juga baik banget",5 bintang
Febriant Wardani,Sangat bagus terutama untuk para pelayan yang bertugas lebih ramah dan sigap membantu 👍🏻 …,5 bintang
Hanifa Syariah,"Suasana dan spot bagus, pelayanan nya juga Ramah bngett, kmarin 08 februari Siang ktemu salah satu waiters nya Cwok Putih tinggi alis nya tebal Klo gak salah namanya Andi, …",5 bintang
Sayaka,"Yes. Langganan di sini. Tempat oke, makanan enak. Mewah. Highly recomended",5 bintang
fauziah ashari,"Tempatnya nyaman,tenang cocok untuk ngobrol santai dgn kel.dan teman",5 bintang
Rahmah Tya Nuhung,"Smoking and non smoking area are available.
Ada musolah cuma lumayan kecil, hanya bisa 3 orang... jadi kudu antri. Pelayanan memuaskan. Tapi kalau boleh nama cafenya dibesarkan biar lebih mudah terlihat bagi yang lewat depan cafe.",4 bintang
Njoo Hadi,AC nya kurang dingin,4 bintang
Farhanah Ramdhani Sumardi,"Love the vibes, service and foods.
Paling suka Chicke Caser Salad dan nasi goreng roanya juga enak🫶",5 bintang
Yeni Rahmawati,"Ini tempatnya cozy banget.. bisa banget dipake untum private party. waktu datang pas lagi ada birthday party, tapi kebutuhan tamu lain tidak terganggu sama sekali. waiternya gercep, toughtfull, dan tetep ramah.. makanannya enak2.. mau poto2 juga semua sudutnya instagramable.. 🤩",5 bintang
